,exercise_name,num_reps
0,Arm Band Adjustment,-1
1,Band Pull-Down Row,20
2,Bicep Curl,26
3,Biceps Curl (band),20
4,Burpee,11
5,Butterfly Sit-up,20
6,Chest Press (rack),20
7,Crunch,20
8,Device on Table,-1
9,Dip,15
10,Dumbbell Deadlift Row,19
11,Dumbbell Row (knee on bench) (label spans both arms),20
12,Dumbbell Squat (hands at side),20
13,Dynamic Stretch (at your own pace),-1
14,Elliptical machine,-1
15,Fast Alternating Punches,-1
16,Jump Rope,-1
17,Jumping Jacks,20
18,Kettlebell Swing,15
19,Lateral Raise,15
20,Lawnmower (left arm),15
21,Lawnmower (right arm),15
22,"Lunge (alternating both legs, weight optional)",20
23,Medicine Ball Slam,15
24,Non-Exercise,-1
25,Overhead Triceps Extension,15
26,Plank,-1
27,Power Boat pose,-1
28,Pushup (knee or foot variation),15
29,Pushups,20
30,Repetitive Stretching,-1
31,Rowing machine,-1
32,Running (treadmill),-1
33,Russian Twist,40
34,Seated Back Fly,15
35,Shoulder Press (dumbbell),15
36,Side Plank Left side,-1
37,Side Plank Right side,-1
38,Sit-up (hands positioned behind head),15
39,Sit-ups,30
40,Squat,30
41,"Squat (arms in front of body, parallel to ground)",20
42,Squat (hands behind head),21
43,Squat (kettlebell / goblet),15
44,Squat Jump,20
45,Squat Rack Shoulder Press,15
46,Static Stretch (at your own pace),-1
47,Static stretch,-1
48,Tap Left Device,-1
49,Tap Right Device,-1
50,Triceps Kickback (knee on bench) (label spans both arms),20
51,Triceps extension (lying down),20
52,"Two-arm Dumbbell Curl (both arms, not alternating)",15
53,Unlisted Exercise,-1
54,V-up,15
55,Walk,-1
56,Walking lunge,30
57,Wall Ball,20
58,Wall Squat,-1
59,Arm straight up,-1
60,Bicep Curl,25
61,Device on Table,-1
62,Dumbbell Deadlift Row,25
63,Jumping Jacks,25
64,Non-Exercise,-1
65,Plank,-1
66,Power Boat pose,-1
67,Pushups,15
68,Side Plank Left side,-1
69,Side Plank Right side,-1
70,Sit-ups,30
71,Squat,25
72,Squat Jump,20
73,Tap IMU Device,-1
74,Tap Left Device,-1
75,Walk,-1
76,Walking lunge,30
77,Bicep Curl,29
78,Device on Table,-1
79,Dumbbell Deadlift Row,24
80,Jumping Jacks,30
81,Non-Exercise,-1
82,Plank,-1
83,Power Boat pose,-1
84,Pushups,20
85,Side Plank Left side,-1
86,Side Plank Right side,-1
87,Sit-ups,30
88,Squat,30
89,Squat Jump,20
90,Tap Left Device,-1
91,Tap Right Device,-1
92,Walk,-1
93,Walking lunge,32
94,Arm Band Adjustment,-1
95,Bicep Curl,30
96,Device on Table,-1
97,Dumbbell Deadlift Row,30
98,Jumping Jacks,29
99,Non-Exercise,-1
100,Plank,-1
101,Power Boat pose,-1
102,Pushups,20
103,Side Plank Left side,-1
104,Side Plank Right side,-1
105,Sit-ups,30
106,Squat,30
107,Squat Jump,20
108,Tap Left Device,-1
109,Tap Right Device,-1
110,Unlisted Exercise,-1
111,Walk,-1
112,Walking lunge,30
113,Arm Band Adjustment,-1
114,Bicep Curl,30
115,Device on Table,-1
116,Dumbbell Deadlift Row,32
117,Jumping Jacks,30
118,Non-Exercise,-1
119,Plank,-1
120,Power Boat pose,-1
121,Pushups,15
122,Side Plank Left side,-1
123,Side Plank Right side,-1
124,Sit-ups,31
125,Squat,31
126,Squat Jump,30
127,Tap Left Device,-1
128,Tap Right Device,-1
129,Walk,-1
130,Walking lunge,30
131,Bicep Curl,30
132,Device on Table,-1
133,Dumbbell Deadlift Row,30
134,Jumping Jacks,30
135,Non-Exercise,-1
136,Plank,-1
137,Power Boat pose,-1
138,Pushups,20
139,Side Plank Left side,-1
140,Side Plank Right side,-1
141,Sit-ups,30
142,Squat,30
143,Squat Jump,25
144,Tap Left Device,-1
145,Tap Right Device,-1
146,Walk,-1
147,Walking lunge,30
148,Arm Band Adjustment,-1
149,Bicep Curl,30
150,Biceps Curl (band),20
151,Burpee,10
152,Butterfly Sit-up,19
153,Chest Press (rack),20
154,Crunch,30
155,Device on Table,-1
156,Dip,20
157,Dumbbell Deadlift Row,20
158,Dumbbell Row (knee on bench) (label spans both arms),30
159,Dumbbell Squat (hands at side),25
160,Dynamic Stretch (at your own pace),-1
161,Elliptical machine,-1
162,Fast Alternating Punches,-1
163,Jump Rope,-1
164,Jumping Jacks,30
165,Kettlebell Swing,20
166,Lateral Raise,20
167,Lawnmower (left arm),15
168,Lawnmower (right arm),17
169,"Lunge (alternating both legs, weight optional)",18
170,Medicine Ball Slam,20
171,Non-Exercise,-1
172,Overhead Triceps Extension,21
173,Plank,-1
174,Power Boat pose,-1
175,Pushup (knee or foot variation),15
176,Pushups,15
177,Repetitive Stretching,-1
178,Rowing machine,-1
179,Running (treadmill),-1
180,Russian Twist,25
181,Seated Back Fly,20
182,Shoulder Press (dumbbell),15
183,Side Plank Left side,-1
184,Side Plank Right side,-1
185,Sit-up (hands positioned behind head),15
186,Sit-ups,30
187,Squat,30
188,"Squat (arms in front of body, parallel to ground)",30
189,Squat (hands behind head),20
190,Squat (kettlebell / goblet),14
191,Squat Jump,30
192,Squat Rack Shoulder Press,20
193,Static Stretch (at your own pace),-1
194,Tap Left Device,-1
195,Tap Right Device,-1
196,Triceps Kickback (knee on bench) (label spans both arms),20
197,Triceps extension (lying down),23
198,"Two-arm Dumbbell Curl (both arms, not alternating)",10
199,V-up,15
200,Walk,-1
201,Walking lunge,28
202,Wall Ball,21
203,Wall Squat,-1
204,Bicep Curl,30
205,Device on Table,-1
206,Dumbbell Deadlift Row,30
207,Jumping Jacks,30
208,Non-Exercise,-1
209,Plank,-1
210,Power Boat pose,-1
211,Pushups,20
212,Side Plank Left side,-1
213,Side Plank Right side,-1
214,Sit-ups,29
215,Squat,30
216,Squat Jump,30
217,Tap Left Device,-1
218,Tap Right Device,-1
219,Walk,-1
220,Walking lunge,30
221,Bicep Curl,31
222,Box Jump (on bench),15
223,Burpee,15
224,Device on Table,-1
225,Dip,20
226,Dumbbell Deadlift Row,30
227,Dumbbell Row (knee on bench) (label spans both arms),30
228,Jumping Jacks,30
229,Lawnmower (label spans both arms),30
230,"Lunge (alternating both legs, weight optional)",30
231,Medicine Ball Slam,15
232,Non-Exercise,-1
233,Overhead Triceps Extension,20
234,Plank,-1
235,Power Boat pose,-1
236,Pushup (knee or foot variation),20
237,Pushups,20
238,Russian Twist,15
239,Shoulder Press (dumbbell),20
240,Side Plank Left side,-1
241,Side Plank Right side,-1
242,Sit-up (hands positioned behind head),20
243,Sit-ups,31
244,Squat,30
245,"Squat (arms in front of body, parallel to ground)",31
246,Squat Jump,31
247,Tap Left Device,-1
248,Tap Right Device,-1
249,Triceps Kickback (knee on bench) (label spans both arms),30
250,"Two-arm Dumbbell Curl (both arms, not alternating)",20
251,V-up,20
252,Walk,-1
253,Walking lunge,30
254,Wall Ball,15
255,Bicep Curl,20
256,Device on Table,-1
257,Dumbbell Deadlift Row,20
258,Jumping Jacks,25
259,Non-Exercise,-1
260,Plank,-1
261,Power Boat pose,-1
262,Pushups,15
263,Side Plank Left side,-1
264,Side Plank Right side,-1
265,Sit-ups,15
266,Squat,25
267,Squat Jump,20
268,Tap Left Device,-1
269,Tap Right Device,-1
270,Walk,-1
271,Walking lunge,30
272,Arm Band Adjustment,-1
273,Bicep Curl,61
274,Device on Table,-1
275,Dumbbell Deadlift Row,60
276,Jumping Jacks,60
277,Non-Exercise,-1
